local_readme_file,section_codes_in_file,codes_not_in_file
iamhl13.StupidPetTricks_I.md,"-,3,6,8","1,4,5,7"
iAsuo.Carbon-Forum.md,"1,3,5,6","4,7,8"
igorbrandao.react-testdrive.md,"1,3,6","4,5,7,8"
IgorCode.Awesome-Support.md,",1,3,6,7","4,5,8"
imryan.ios-tableview-sections-ios-0616.md,",1,3","4,5,6,7,8"
imujeebco.treehugger.md,"1,3,5","4,6,7,8"
ingydotnet.cpanminus.md,",-,1,3,5,6","4,7,8"
Ins1ghtLabs.LinEnum.md,3,"1,4,5,6,7,8"
Internecine.openmw.md,"1,3,4,5,6","7,8"
interz21.POGOserver.md,"3,4","1,5,6,7,8"
iorch.sklearn_tutorial.md,"1,3","4,5,6,7,8"
iros.Font-Awesome-SVG-PNG.md,",1,3,5,6","4,7,8"
isdom.UniAuth.MD,"-,3,4","1,5,6,7,8"
ismailfazal.profiler.md,",1,3,5,6,7","4,8"
ITB.COMP40010CloudSurvey.md,"1,3,6","4,5,7,8"
itopa.SocketQueue.md,",1,3,5,6,7","4,8"
J-Issa1.CarFramework-DX11.md,",1,3","4,5,6,7,8"
j-jiafei.tango-examples-java.md,"-,1,5,6,7","3,4,8"
j-mcnally.npm.md,",-,1,3,6,7,8","4,5"
jacadym.OpenEmu.md,"1,3,6","4,5,7,8"
jackdevelop.Starling-UITool.md,-,"1,3,4,5,6,7,8"
JackyAnn.gradle.plugin.greenrobot.eventbus.md,"-,1,3,5,6","4,7,8"
jackycarry.AndroidPdfViewer.md,",1,3,5,6","4,7,8"
JacobMarshallPP.ui-mention.md,"1,3,6,7","4,5,8"
jacqswu.genius.md,",-,1,3,5,6,7","4,8"
jakedahn.cloudenvy.md,"-,1,3,4,6","5,7,8"
jameselsey.tess-two.md,"1,3,5,6","4,7,8"
jane-hnatiuk.WebGoat-Legacy.MD,"3,5,6","1,4,7,8"
janenik.ninja-sso-um.md,"-,1,3,6,8","4,5,7"
jangellx.AutoOfficeDaemon.md,"1,3,6","4,5,7,8"
jango2015.AndroidUtilCode.md,"-,4","1,3,5,6,7,8"
JarnodeLeeuw.prog-assignment.md,",-,1,3,5,6","4,7,8"
jasonmit.flexi.md,"1,3,4,5,6,7",8
Jassbrain.angular.md,"1,3,5,6,7","4,8"
Jastine94.CPSC_310.md,"1,3,6","4,5,7,8"
java2script.java2script.md,",1,4,5,6","3,7,8"
javaPr.neo4j-spark-connector.md,",3,4,5,6","1,7,8"
jb55.winston-raven.md,"-,3,4","1,5,6,7,8"
jbraeuer.git_store.md,"1,3,5,6","4,7,8"
jcagomes.db-sample-schemas.md,",-,1,3,5","4,6,7,8"
jcamacaro.open_nsfw.md,",1,3,5,6","4,7,8"
jchbh-duplicate.winston.md,",-,1,3,4,5,6","7,8"
jeanEpek.angular2-webpack-starter.md,"1,3,4,5,6,7",8
JeffreyRuder.neveragaindottech.github.io.md,"-,1,3,6,7","4,5,8"
jennafrancis.ruby-class-variables-and-class-methods-lab-v-000.md,"1,3","4,5,6,7,8"
jeremyrsmith.quill.md,",-,1,3,5,6","4,7,8"
jerrylee.ux-pattern-library.md,"1,3,5,6,7","4,8"
jfenchong.grainstore.md,",3,4,6","1,5,7,8"
JHJLuijten.prog-assignment.md,",-,1,3,5,6","4,7,8"
jhjunior.fedy.md,",1,3,5,7","4,6,8"
jichangwang.gc-viz.md,",1,3,6","4,5,7,8"
jl1014171068.web-mobile-placesearch.md,",-","1,3,4,5,6,7,8"
jlereverend.DoctrineExtensions.md,"1,3,4,6","5,7,8"
jmighion.jboss-eap-quickstarts.md,"-,1,3,6","4,5,7,8"
jmKeenan.cpi.md,",-,1,3,4,6","5,7,8"
jmsegrev.ng2-file-upload.md,",-,3,5,6","1,4,7,8"
joansmith.mongo-java-driver.md,",1,3,4,5,6","7,8"
joelburget.shade.md,"1,3","4,5,6,7,8"
johnhomantaring.learn-chaincode.md,",-,1,3,4,6","5,7,8"
jojo1007.AndroidDataStorage.md,",-,1,3","4,5,6,7,8"
JoJoor.glm.md,",-,1,3,4,5","6,7,8"
joketrump.rspec-fizzbuzz-q-000.md,"1,3,6","4,5,7,8"
josemariagomezroncero.dolibarr.md,",1,3,4,5,6","7,8"
joshterrill.angular.treeview.md,"-,1,3,4,5,6","7,8"
jperezrua.idlf.md,"-,1","3,4,5,6,7,8"
jpriebe.AudioRecorder.md,"1,3,4,5,6,8",7
jr198868.Exploratory-Data-Analysis---Peer-Graded-Assignment-Course-Project-2.md,"1,3,4,6","5,7,8"
jsheedy.d3-grid-map.md,3,"1,4,5,6,7,8"
jsiah.brew.md,"1,3,5,6","4,7,8"
jspaine.atom-javascript-refactor.md,"3,6,7","1,4,5,8"
jsyeo.Spot.md,",-,1,3,5,6","4,7,8"
Juanriv45.ttt-with-ai-project-v-000.md,",1,3,5,6","4,7,8"
jugg3rn4u7.networks2.md,",3,6,7","1,4,5,8"
julapy.ofxUI.md,"1,3,6","4,5,7,8"
julienledem.algebird.md,",1,4,5,6","3,7,8"
juliuste.sncf.md,",-,1,3,6,7","4,5,8"
justinyaoqi.bfs-image-server.md,",-,3,4","1,5,6,7,8"
justpic.tornado-nginx-post-action-example.md,"-,3,6","1,4,5,7,8"
jv9.vsts-agent.md,"1,3,6,7","4,5,8"
k504866430.origin.md,"-,1,3,4,5,6,7",8
KAIST-IS521.TeamFour.md,"1,3","4,5,6,7,8"
kaizengliu.jexboss.md,"1,3,6","4,5,7,8"
kakawin.free_generator.md,"1,3,5,6","4,7,8"
KakoDev.roundcubemail.md,"-,1,3,5,6,7","4,8"
kamelkev.CSSJSON.md,"-,1,3,6","4,5,7,8"
karimAlaa.medium-editor-markdown.md,"-,1,3,5,6,7","4,8"
Kazava.colornet.md,",-,1,3,6","4,5,7,8"
keedio.incubator-zeppelin.md,"-,1,3,6","4,5,7,8"
keenmisty.emep-ctm.md,"1,3,6","4,5,7,8"
KenRud.brackets-less-autocompile.md,"3,5","1,4,6,7,8"
kevinem.nonprofit-explorer-php.md,"1,3,5,6","4,7,8"
kevinharvey.ansible.md,",1,3,5","4,6,7,8"
kevmoo.peanut.dart.md,"3,6","1,4,5,7,8"
Kimmyrae.wats1020-arrays-functions.md,"1,3,6","4,5,7,8"
kingjci.angular-phonecat.md,"1,3,5,6","4,7,8"
KitJacky.acme.sh.md,",1,3,4,5,6","7,8"
kkboy123.lstm-char-cnn-tensorflow.md,",1,3,5","4,6,7,8"
kmschroth.aws-cloudtrail-with-splunk.md,"1,3,6","4,5,7,8"
kpld.ZeroNet.md,",-,1,3,4,5,6,8",7
kravikanti-zz.Foodie-Finder.md,"-,1,3,6","4,5,7,8"
KristianI.Laravel-Excel.md,"-,3,4,5,6,7","1,8"
krusynth.chef-vault.md,",1,3,4,5,7","6,8"
KupriyanovOleg.spreadsheet.md,",-,1,3,4,5,6","7,8"
Kust.gitbook.md,"1,3,6","4,5,7,8"
kwangkim.flambeau.md,"-,3,6","1,4,5,7,8"
kylixs.weui.md,"-,3,4,5,7","1,6,8"
kyubotics.coolq-cpp-sdk.md,",-","1,3,4,5,6,7,8"
lagden.jQuery-Form-Validator.md,",1,3,4,5,6","7,8"
Laharah.calibre-access.md,"1,3,6","4,5,7,8"
language-learners.phpbb.md,"3,5,7","1,4,6,8"
lannon.filemaker-ruby.md,"-,1,3,5,6,7,8",4
Lanoli.logstash_aspnetcore.md,",-,1,3,6","4,5,7,8"
LansingAreaRUsersGroup.minimal.md,"-,1,3,4,6,7","5,8"
Lappalainen-Joel.ansible-role-apt_source.md,",1,3,5","4,6,7,8"
lastperson.go-ethereum.md,",-,1,3,5,6,7","4,8"
LauRocky.mybatis-plus.md,"-,1,3,5","4,6,7,8"
lazylennon.quick-cocos2d-x.md,-,"1,3,4,5,6,7,8"
lcbasu.SteamVR_Template.md,",1,3,4","5,6,7,8"
leaniman.adyen.md,"1,3,5","4,6,7,8"
learn-usertoken.express-admin.md,"-,1,3,5,6","4,7,8"
LEECHIENKUAN.JSONExport.md,",1,3,5,6","4,7,8"
LeeDarren.create-your-own-adventure.md,",1,3,5,6,7","4,8"
leekiernan.laptop.md,",1,3,5,6,7","4,8"
leen89757.TrueCraft.md,",3,6","1,4,5,7,8"
lengly.appHealth.md,"-,3,4,6","1,5,7,8"
leoxnv.RepData_PeerAssessment1.md,"1,3","4,5,6,7,8"
levyhoo.served.md,"-,1,3,4,5,7","6,8"
lg20081224.Luban.md,",-,4,5","1,3,6,7,8"
lgants.rails-form_tag-readme-web-0716.md,"1,3","4,5,6,7,8"
Librapp.EventBus.md,",1,3,5,6","4,7,8"
lightbluewind.DatabaseKit.md,",-,1,3,6","4,5,7,8"
linliapp.fontmin.md,"-,3,5,6","1,4,7,8"
LittleHeap.iOS-Coursera.md,"-,3,4","1,5,6,7,8"
lixiaoshuai.zheng.md,"-,4","1,3,5,6,7,8"
lixzh.hhvm.md,"1,3,5,6,7","4,8"
lizhil.JGulp.md,-,"1,3,4,5,6,7,8"
lkdamer.adopt-a-tree.md,",-,1,3,5,7","4,6,8"
lnfg.AndFix.md,"-,1,3,5,6,8","4,7"
LoadingPleaseWait.stk-code.md,"1,3,5,6","4,7,8"
LonelyPale.fastjson.md,"1,3,5,6","4,7,8"
longzekai.UpdateHelper.md,",-","1,3,4,5,6,7,8"
louije.react-native-wifi-module.md,"1,3,8","4,5,6,7"
louisZL.californium.scandium.md,"1,3,6","4,5,7,8"
lpikora.ionic.md,"1,3,4,5,6","7,8"
lpzahd.fresco.md,"1,3,5,6","4,7,8"
LTe.muzang.md,",-,3,4,5,6,7","1,8"
ltlovezh.ijkplayer.md,",-,1,3,4,5","6,7,8"
LubinWang.alex.md,",1,3,6,8","4,5,7"
lucasvo.dotfiles.md,"1,3","4,5,6,7,8"
ludaye123.FDStackView.md,"-,1,3,5","4,6,7,8"
LuiguiBalarezo.PrettySharedPreferences.md,"-,1,3,4,5,6","7,8"
LuiguiBalarezo.SwitchButton.md,",-,1,3,4,6","5,7,8"
lukeredpath.BlocksKit.md,"1,3,5,6,7","4,8"
luongnv89.plugins.md,"-,1,3,5,6,7","4,8"
luosam1123.MMWormhole.md,"-,3,5","1,4,6,7,8"
luzefeng.DoubanFM.md,"-,1,3","4,5,6,7,8"
lxMBIT.front.md,"-,1,3,7","4,5,6,8"
ly774508966.Firmware.md,",1,4,5,6","3,7,8"
lzmths.madlib.md,",1,3,4,5,6","7,8"
m3nt0r.cakephp-redis-session.md,"-,3","1,4,5,6,7,8"
madboymaduka.spyfall.md,"1,3,6,7","4,5,8"
MahaKoala.gh-ost.md,"-,1,3,4,5","6,7,8"
MahaKoala.kit.md,",1,3","4,5,6,7,8"
MahaKoala.ulid.md,"1,3","4,5,6,7,8"
MahmoudAljabary.php-gds.md,",-,1,3,4,6","5,7,8"
mainaGioia.Xamarin-Navy.md,",3,4","1,5,6,7,8"
majestique.angular-markdown-editor.md,",-,1,3,4,5,6","7,8"
mallek.ComputerCraft.md,",-,1,3,6","4,5,7,8"
MantisWare.xero-php.md,",3","1,4,5,6,7,8"
MantisWare.zendesk-laravel.md,"1,3","4,5,6,7,8"
mantl.distributive.md,",1,3,5,6,7","4,8"
marblegravy.ghostion.md,",1,3,6","4,5,7,8"
marcofanciulli.bemyeyes-ios.md,"-,3,4,6","1,5,7,8"
marcominetti.miraclecast.md,"3,5,6","1,4,7,8"
marcos-simoes.seeburger-vfs2.md,",3,4","1,5,6,7,8"
mari0o.java-design-patterns.md,",-,1,3,4,5,6,7",8
markburns.exrabbit.md,3,"1,4,5,6,7,8"
marslili.transitive.js.md,"-,1,3,5,6","4,7,8"
mat2maa.react-native-datepicker.md,"1,3,6","4,5,7,8"
MathijsNL.pyrealsense.md,",1,3,4,6","5,7,8"
mathurin59000.dashing-docker.md,"-,1,3,6","4,5,7,8"
mattak.SwiftMoment.md,"1,3,5,6","4,7,8"
MattHeard.Kalman-and-Bayesian-Filters-in-Python.md,"1,3,5,6","4,7,8"
mattkrick.redux-persist.md,"-,1,3,6","4,5,7,8"
mauroarias.mnubo-python-sdk.md,",-,1,3,4,6","5,7,8"
mbithub.front.md,"-,1,3,7","4,5,6,8"
mblue002.BLE_HCI.md,"3,6","1,4,5,7,8"
mburleigh.core.md,",1,3,5,6,7","4,8"
mdabbagh88.android-UniversalMusicPlayer.md,"1,3,5,6,8","4,7"
medmond.PagerSlidingTabStrip.md,"1,3,5","4,6,7,8"
mehany.starter-laravel-angular.md,",-,1,3","4,5,6,7,8"
MeKarina.react-native-navigation.md,"-,1,5,6","3,4,7,8"
melvinvarkey.maybe.md,"1,3,5","4,6,7,8"
mendelB.rack-dynamic-web-apps-v-000.md,"1,3","4,5,6,7,8"
merriann.roots-example-project.com.md,"1,3,5,6,7","4,8"
metamaden.HM450_tools.md,",-,1,3,4,6","5,7,8"
MetaMask.web3-provider-engine.md,"1,3","4,5,6,7,8"
MEZOCLONE.rebound.md,"-,1,5,6","3,4,7,8"
mfrye.popcorn-app.md,",-,1,3,6","4,5,7,8"
mgmoody42.Net.TMDb.md,",3,6","1,4,5,7,8"
michiel.rust-cross.md,"1,3,5,6","4,7,8"
mikepenz.android-basic-samples.md,"1,3,6","4,5,7,8"
mikkohei13.airquality-finland.md,"-,1,3,4,5,6","7,8"
miladmeidanshahi.jquery-selectBox.md,"-,1,3,5,6","4,7,8"
Millz0r.community-templates.md,"1,3,5,7","4,6,8"
mindis.incubator-quarks.md,",1,3,6","4,5,7,8"
minghao2016.NoNCRstar.md,",-,3,5","1,4,6,7,8"
mingjianliu.algorithm_java.md,"3,4,5,6","1,7,8"
minhthuanit.Shapes.md,"-,1,3,6","4,5,7,8"
mirroam.gitea.md,"1,3,5,6,7","4,8"
MitchelVanHelden.prog-assignment.md,",-,1,3,5,6","4,7,8"
mlaksv.patch-hadoop_7682-1.0.x-win.md,"1,3","4,5,6,7,8"
mmelo.generator-backbone.md,",1,3,5,6,7","4,8"
mnjstwins.python-magic.md,"1,3,5,6","4,7,8"
modelica-projects.ModelicaBook.md,",1,3,6,7","4,5,8"
mohitsadaria.mustache.js.md,",-,1,3,5,6","4,7,8"
mohitsethi.vagrant-openstack-plugin.md,"-,1,3,4,5","6,7,8"
mojoblanco.NUBAN.md,",-,1,3","4,5,6,7,8"
mokkin.hopglass-server.md,",-,1,3","4,5,6,7,8"
moon-sky.SlideDateTimePicker.md,",3,4,5,7","1,6,8"
morchickit.opendataindex.md,",-,1,3,6","4,5,7,8"
morefun0302.YoutubeExtractor.md,"-,1,3,5,6","4,7,8"
morristech.Meepo.md,"1,3","4,5,6,7,8"
Mortehay.OpenLayers-ext.md,1,"3,4,5,6,7,8"
Mriganko.tensorflow.md,"1,3,6","4,5,7,8"
Mrzy.android-swipelistview.md,"-,1,3,5,6","4,7,8"
Mrzy.AndroidSideMenu.md,",3,5","1,4,6,7,8"
Mrzy.ArcMenu.md,",-,1,3,4","5,6,7,8"
Mrzy.EventBus.md,"-,1,3,4,5,6,8",7
Mrzy.StaggeredGridView.md,",-,1,3,4","5,6,7,8"
msinai.javascript-logging-lab-bootcamp-prep-000.md,"1,3,6","4,5,7,8"
MXi4oyu.algorithms.md,"-,1,6","3,4,5,7,8"
myarchive.demo-hugo.md,"1,3,8","4,5,6,7"
Mybrc91.git-appraise.md,"1,3,7","4,5,6,8"
mynew7.DeathCore_3.3.5_New_Races.md,",-,3,4,5,6","1,7,8"
mzabriskie.angular-translate.md,"1,3,4,6","5,7,8"
nadish21.OpenStudio-Prototype-Buildings.md,"1,3,4,6","5,7,8"
nadrane.competitive_search.md,"-,1,3,6","4,5,7,8"
NagiosEnterprises.autoconf-macros.md,"3,5,6","1,4,7,8"
nagukothapalli.java-design-patterns.md,"1,3,5,6,7","4,8"
NancyAnggraini.frontend-nanodegree-resume.md,",1,3,6","4,5,7,8"
narekhnh.UnityGPGPlugin.md,"-,1,3,4,5,6","7,8"
narqo.bem-core.md,",-,1,3,4,5,6,7,8",
narry.RxJava.md,"1,3,4,5,6","7,8"
Natalisp.devise_pundit_lab-wdf-000.md,",1,3,6","4,5,7,8"
natenorberg.monstercheckout_rails.md,",1,3,4,6","5,7,8"
nattaponv.vboxdeploy.md,"1,3,6","4,5,7,8"
ndneighbor.hackathon-starter.md,",-,1,3,4,5,6,7",8
neeleshkorade.mow.cli.md,"-,1,3,5","4,6,7,8"
nellaivijay.leiningen.md,"3,5,6,7","1,4,8"
netbe.Specs.md,"1,3,4,5","6,7,8"
netmarti.carballo.md,"1,3,4,5,6","7,8"
Netsoro.PythonDataScienceHandbook.md,"-,1,3,5,6","4,7,8"
neuroidss.Nervana-neon.md,",1,3,5,6,7","4,8"
newpoo.rocksplicator.md,",-,1,3,5","4,6,7,8"
nicolaecodreanu.Asteroids.md,",-,1,5,6","3,4,7,8"
nicolascine.codeigniter-restserver.md,",-,1,3,4,6,7","5,8"
niftylettuce.wintersmith.md,",-,1,3,5,6","4,7,8"
Niikwartey.rails-form_tag-readme-wdf-000.md,"1,3","4,5,6,7,8"
nishadi.spark-sql-perf.md,"-,1,3,6","4,5,7,8"
nispring.SwipeTableView.md,"-,1,3,4,5","6,7,8"
NixOS.nix-mode.md,",1,3,6","4,5,7,8"
nobbymz.CanaryPlugin.md,",1,3,5,6","4,7,8"
oaki.Bootstrap-Image-Gallery.md,"-,1,3,5,6","4,7,8"
octobox.octobox.md,",-,1,3,5,6,7","4,8"
olaobaju.swirl_courses.md,"1,3,5,6","4,7,8"
oncealong.emacsIDEAs.md,"-,3","1,4,5,6,7,8"
One-com.resurrect-js.md,"-,1,3,6","4,5,7,8"
OR13.OpenCyc.md,"1,3","4,5,6,7,8"
ordimini.ardupilot.md,"1,5,6","3,4,7,8"
oscarlinger.tet-csharp-samples.md,",1,3,4,6","5,7,8"
oshojain.facebook_php.md,",-,3,6","1,4,5,7,8"
overview.overview-server.md,"1,5,6","3,4,7,8"
paked.esoteric-adventures.md,",-,1,3","4,5,6,7,8"
PanagiotisDrakatos.JavaRansomware.md,"-,1,3,5,6,7","4,8"
PandaHugMonster.mpay24.md,"-,1,3,4,5,6","7,8"
pangfumin.VINS-Mobile.md,"1,3,5","4,6,7,8"
paolodm.angular-load.md,"1,3,5","4,6,7,8"
Parallel-Thinkers.Sudoku-Solver.md,1,"3,4,5,6,7,8"
pareeohnos.sonews.md,"1,3,5,7","4,6,8"
pataprogramming.loom-jung.md,",3,5,6","1,4,7,8"
paulate.tagspaces.md,"-,1,3,4,5,6,7,8",
paulseddon.play-swagger.md,"-,1,3,6","4,5,7,8"
pbxrshd.marked.md,"-,1,3,5,6,7","4,8"
pdhruti.community-app.md,"1,3,4,5,7","6,8"
pedrosoukup.bootstrap.md,"1,3,4,5,6,7",8
pescarcena.ui-date.md,"1,3,5,6,7","4,8"
peuek.APYDataGridBundle.md,"1,3,5,6","4,7,8"
peutetre.Custom-URL-scheme.md,"-,1,3,4,5,6","7,8"
pfortuna.owasp-mstg.md,",1,3,5,6,7,8",4
pgaray1229.ttt-1-welcome-rb-q-000.md,",1,3,6","4,5,7,8"
PGSwift.SwiftUIDemo.md,",1,3,4,5","6,7,8"
phillips1021.portlet-rating.md,"-,1,3,5","4,6,7,8"
phnmnl.container-batman.md,",1,3,4,5,6,8",7
pierman1.bt-features.md,"-,1,3,6","4,5,7,8"
pimpreneil.raml2html.md,",-,1,3,4,5,6,7",8
pixeljunkie.amazon-alexa-php.md,"3,6","1,4,5,7,8"
Plop.pokelyzer.md,",-,1,3","4,5,6,7,8"
plow-technologies.conduit.md,",1,3,6","4,5,7,8"
pntrivedy.brackets.md,"1,3,5,6","4,7,8"
portamanam.nodejs-ex.md,",1,3,5,6","4,7,8"
prajnatp.framework.md,"1,5,6,7","3,4,8"
pranjulkansal.wordbase-solver-master.md,",-,1,3,4","5,6,7,8"
prasadpande1990.Data-Analysis-using-Hadoop.md,1,"3,4,5,6,7,8"
primaapriansyah.label.css.md,",3,4,5,8","1,6,7"
pro100frol.chef_handler.md,",3,5,6","1,4,7,8"
pseyfert.include-what-you-use.md,",1,3,4","5,6,7,8"
psug.dojos.md,",-","1,3,4,5,6,7,8"
psyko0815.mimikatz.md,"-,3,5,6","1,4,7,8"
ptierno.bootprint-openapi.md,"-,1,3,4,5,6,7",8
PurpleDogEnterprises.electron.md,",1,3,6","4,5,7,8"
pyboosted.haxe.md,"-,1,3,4,5,6","7,8"
qianniuer.webpack.md,",1,3,6","4,5,7,8"
qilicun.DSB2017.md,"1,3,4","5,6,7,8"
qingswu.sun-bcnn-vo.md,"-,3,6","1,4,5,7,8"
ql-io.npmjs.org.md,",-,3,4,6","1,5,7,8"
quartzjer.electrolyte.md,"1,3,5,6","4,7,8"
r-e-l-z.DumpFlash.md,"1,4,5","3,6,7,8"
r-learner.benchm-ml.md,",-,1,3,4,8","5,6,7"
RachelScodes.MOB-NYC-4.md,"-,1,3","4,5,6,7,8"
rafael.hubot.md,",1,3,6","4,5,7,8"
rafaelcsa.pixyll.md,",-,1,3,5,6,7","4,8"
rafaelpevidor.cdi-jsf-crud.md,",-","1,3,4,5,6,7,8"
rafaelpevidor.prime-ejb-crud.md,"-,6","1,3,4,5,7,8"
rafallyczkowski.concierge.md,",-,1,3,4,5,6,7",8
rainhees.UIScrollView-InfiniteScroll.md,",-,1,3,5,6","4,7,8"
rainhees.ZHPopupView.md,"-,1,3,5,6","4,7,8"
RaniaRho.rosdistro.md,,"1,3,4,5,6,7,8"
raphaelmun.mmbot.md,"-,1,3,6","4,5,7,8"
rastating.DSXS.md,"-,1,3","4,5,6,7,8"
ravbhatnagar.azure-sdk-for-net.md,"1,3,6","4,5,7,8"
raychen91.weixin-java-tools.md,"-,1,3,4","5,6,7,8"
ReclaimerLabs.ReclaimerLabs_ADS1118.md,",1,3,6","4,5,7,8"
reingart.py_efactura_uy.md,",3","1,4,5,6,7,8"
rememberedbound.znc.md,"3,6","1,4,5,7,8"
Rhuax.dcsn.md,"1,3,5","4,6,7,8"
rictrae.jquery.tap.md,"-,1,3,5,6","4,7,8"
ridemouser.spark.md,",1,3,6","4,5,7,8"
rmoorman.Griddle.md,"-,1,4,6,7","3,5,8"
robby14.RIOT.md,",1,3,5,7","4,6,8"
robmurtha.platform.md,",-,1,3,4,6","5,7,8"
robschley.bootstrap.md,"1,3,4,5,6,7",8
robversluis.PIMGento.md,"1,3,4,6","5,7,8"
RockRong1204.AndroidScreenSlidePager.md,"-,3","1,4,5,6,7,8"
Roman-Scherbakov.awesome-swift.md,",-,1,3,5,6,7","4,8"
RomanHargrave.nodehun.md,"-,1,3,6","4,5,7,8"
royalwang.cnodejs-ionic.md,"1,3,4,5,7","6,8"
royalwang.noder-react-native.md,"1,3,4,5,7,8",6
rst.android-plugin.md,"3,4,5,6","1,7,8"
rthangam.immutable-js.md,",1,3,4,5,6,7",8
rudiakim.javascript-intro-to-functions-lab-js-intro-kwk.md,"1,3","4,5,6,7,8"
ryb73.babel.md,"1,3,5,6,7","4,8"
s0sh.satismeter-ios.md,"-,1,3,5,6","4,7,8"
s8186255.vue2-demo.md,-,"1,3,4,5,6,7,8"
SaboWong.MLeaksFinder.md,",-,3,5","1,4,6,7,8"
SafeMarket.wafr.md,"1,3,5,6,7","4,8"
saifs0.fullstack-course4.md,"1,3,6","4,5,7,8"
saisri58.chatAppp.md,",1,3","4,5,6,7,8"
sammyas.cadvisor.md,",1,3,5,6","4,7,8"
samshaq19912009.LeetCode.md,",-,1,3,6,8","4,5,7"
samuelneff.sql-formatter-extra-join-indentation.md,"-,1,3,5,7","4,6,8"
SandervanSteenis.prog-assignment.md,",-,1,3,5,6","4,7,8"
sascott624.sinatra-activerecord-associations-v-000.md,"1,3","4,5,6,7,8"
scalajs-io.express.md,"1,3,6","4,5,7,8"
schsj.air-datepicker.md,",-,1,3,4,5,6","7,8"
scooterbill.beautifulhue.md,"-,1,3,6","4,5,7,8"
SeminYun.PixiParticles.md,"1,3,5,6","4,7,8"
sethkrasnianski.polymer-loader.md,"-,3","1,4,5,6,7,8"
sf99167.EQGRP.md,",-,1,3,4,6","5,7,8"
shabesoglu.pxctest.md,"-,1,3,5,6","4,7,8"
ShadowDevourer.MVC5-Scaffolder.md,"-,1","3,4,5,6,7,8"
shakhawat4g.brackets.md,",-,1,3,5,6,7","4,8"
shamste82.introduction-to-array-for-each-bootcamp-prep-000.md,"1,3,6","4,5,7,8"
shaocf.r-ninja.md,-,"1,3,4,5,6,7,8"
sheerun.vim-yardoc.md,"-,3,6,7","1,4,5,8"
shekh-akther.dcos-vagrant.md,"1,3,5,6","4,7,8"
sherpic.another-one-fucking-boilerplate.md,",1,3,4,5,6,7",8
sherrylynntower.https---github.ibm.com-stower-ZeroToCognitive.md,"1,3,6","4,5,7,8"
Sheshouzuo.vswipe.md,"-,3,5,6","1,4,7,8"
shinesoleil.demochat.md,",3,5","1,4,6,7,8"
shitou9999.CompressHelper.md,"-,3,4,6","1,5,7,8"
shkodskihk.fatfree.md,",-,1,3,4,5,6","7,8"
shoonoise.lua-nginx-statistics.md,"1,3,6","4,5,7,8"
shyiko.opentype.js.md,"-,1,3,5,6","4,7,8"
sibext.icinga2-client-docker.md,"1,3,6","4,5,7,8"
siderakis.AnormCypher.md,"1,3,4,5","6,7,8"
simman.LCActionSheet.md,"-,3,5","1,4,6,7,8"
SimonDamminga.prog-assignment.md,",-,1,3,5,6","4,7,8"
simonlui.OpENer.md,",1,3,4,5,7","6,8"
siovene.django-persistent-messages.md,"1,3,5","4,6,7,8"
sirvine.todomvc.md,",1,3,5,6","4,7,8"
sjtw.eve-singlesignon.md,",3,4,5,6","1,7,8"
skitterm.map-tour-storytelling-template-js.md,",-,1,3,5,6,7","4,8"
skittlerockstar.Android-Notification-Suspender.md,"3,6","1,4,5,7,8"
smj227227.incubator-rocketmq.md,"-,1,5,6,7","3,4,8"
smondal7676.turn.js.md,"1,3,4,5","6,7,8"
Snazzah.BeautifulDiscordSnippets.md,",-,1,3,6","4,5,7,8"
snowcity.xlrd.md,3,"1,4,5,6,7,8"
softr8.spree_auth_devise.md,"1,3,6","4,5,7,8"
softtama.UWP_Tut_Proj_1.md,",1,3,4,5,6","7,8"
SolidDigital.magic-focus-finder.md,",-,3,6","1,4,5,7,8"
sonyeric.pyfolio.md,"1,3,5,6,7","4,8"
sopel.librato-services.md,"1,3,5,7","4,6,8"
sorinmuchi.animate.css.md,"1,3,5,7","4,6,8"
soyoungboy.EasyAnroid.md,,"1,3,4,5,6,7,8"
sparkfun.SparkFun_ADC_Block_for_Edison_CPP_Library.md,",3,5,6","1,4,7,8"
spectre013.prisma.md,"-,4,5","1,3,6,7,8"
spiffyjr.spiffy-event.md,"-,1,3,6","4,5,7,8"
sramil.xamarin-forms-samples.md,"1,3,5,6,7","4,8"
sreedhar999.Coure5-md1-Solution.md,"-,1,3,6","4,5,7,8"
srt32.buffalo.md,",-,1,3,5,6","4,7,8"
ssk2.drones-267.md,"-,1,3,5","4,6,7,8"
sssssqew.navernewscrawler.md,-,"1,3,4,5,6,7,8"
stanosky.compiler-util.md,"-,1,3,5,6,7","4,8"
stargaser.RepData_PeerAssessment1.md,"1,3","4,5,6,7,8"
starmate.sonata-admin-extra-export-bundle.md,"1,3","4,5,6,7,8"
stephan1.polyglot-restaurant.md,"-,1,3","4,5,6,7,8"
StevenJohnson86.09-SQL-joins-relations.md,"1,3,6","4,5,7,8"
stevenocchipinti.fatlog.md,"1,3,6","4,5,7,8"
SteveRoth.Autofac.md,"1,3,6,7","4,5,8"
stevewithington.Slatwall.md,"3,5,6","1,4,7,8"
stormbeta.puppet-homebrew.md,",-,1,3,5","4,6,7,8"
stylejar.InstaFilters.md,",1,3,4,5,6","7,8"
subnak.fcc_api_projects1.md,",-,1,3,5,6,7","4,8"
sungtaek.simple-stax.md,"3,6","1,4,5,7,8"
